area,training_name,qty_staff_attending,training_desc,challenge_lvl,skill_impact,evaluation_method,ida_class,training_type,training_hours,supplier_name,course_cost
"Digital Skills","Stryker Lean - Leader Standard Work","200","Forms a routine for front line leaders to allow time and headspace for Kaizen & Lean activities","Challenge 2","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",8.0,,
"Digital Skills","Stryker Lean - Global Problem Solving Level 1","200","Ability to use Problem Solving to address process issues","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",8.0,,
"Digital Skills","Stryker Lean - Global Problem Solving Level 2","45","Capability to practice & coach problem solving to address issues","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",24.0,,
"Digital Skills","Stryker Lean - Global Problem Solving Level 3","10","Develop capability to teach and coach Problem solving tool","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",40.0,,
"ENVIRONMENTAL SUSTAINABILITY","Stryker Lean Tools - Value Stream Mapping","10","Understand, identify and address bottlenecks in the value stream and help reduce lead time","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","External Training",24.0,"Redefine",21875.0
"ENVIRONMENTAL SUSTAINABILITY","Stryker Lean Tools - Process Mapping with Visio","15","Builds capability to ensure that value-adding activities flow smoothly in the value stream process","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",8.0,,
"ENVIRONMENTAL SUSTAINABILITY","Stryker Lean Tools - Pull-based system","5","Build capability to leaders to establish a system to ensure that inventory and WIP levels are following the Just in Time deliver and manufacturing and is flexible enough to adjust what the customer needs. This can also leverage on digital for on time availability of information.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",4.0,,
"ENVIRONMENTAL SUSTAINABILITY","Lean - Define Customer Value","10","Identify what the customer wants, how they want the product and price","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",4.0,,
"ENVIRONMENTAL SUSTAINABILITY","Coating applications engineering training particularly around our PA coating process and capability","10","This specialised training enhances technical expertise in our PA coating processes, ensuring higher product quality, process efficiency, and reduced rework or downtime. This training is essential to retaining the internal inherent knowledge we have on this custom coating process","Challenge 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",4.0,,
"ENVIRONMENTAL SUSTAINABILITY","CNC Tooling Analysis Training","6","The course develops skills in CNC tooling analysis to optimise machine performance, reduce tooling costs, and improve production efficiency and quality.","Challenge 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",4.0,,
"ENVIRONMENTAL SUSTAINABILITY","Allen Bradley training course - Accelerated Logix5000 Programmer Leevel 1","3","Upskills staff. Builds competency & knowledge to support new systems that are arriving and to support the site for the automation journey. ","Challenge 3 / 4","Innovation in process & engineering","Written Exam","Class B - Nat/International Industry Cert","External Training",40.0,"Rockwell Automation",9000.0
"ENVIRONMENTAL SUSTAINABILITY","Fanuc Robot training - Advanced TPP Programming","3","Robot training will upskill personnel to allow them to manage and support automated systems. ","Challenge 3 / 4","Innovation in process & engineering","MCQ","Class B - Nat/International Industry Cert","External Training",40.0,"Fanuc Academy",10500.0
"ENVIRONMENTAL SUSTAINABILITY","Quality Fundamentals Essentials Creation","5","Enablement & Knowledge","Challenge 1","Quality Management","","Class D - Not Certified","Internal Training",4.0,,
"ENVIRONMENTAL SUSTAINABILITY","Quality Fundamentals Essentials Delivery & Training","35","Enablement & Knowledge","Challenge 1","Quality Management","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",4.0,,
"ENVIRONMENTAL SUSTAINABILITY","Presentation Skills","40","This course equips employees with the skills to confidently plan, structure, and deliver engaging presentations. It focuses on clear communication, audience engagement, and the effective use of visual aids.","Challenge 1","Skilled presenters supporting collaboration and stakeholder engagement","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",8.0,"Irish Medtech Skillnet Funded",8000.0
"ENVIRONMENTAL SUSTAINABILITY","Training Techniques for Trainers","40","This course equips trainers with effective instructional design and delivery techniques, ensuring consistent, high-quality training that accelerates employee learning and performance.","Challenge 3","Fully trained & capable trainers on site","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",8.0,,
"INNOVATION","ISO 13485 Lead Auditor Training","20","To understand how to effectively lead an audit to ISO 13485 standard both internally (stryker) and external (suppliers)","Challenge 4","Quality management","MCQ","Class B - Nat/International Industry Cert","External Training",24.0,"Irish Medtech Skillnet Funded",12500.0
"INNOVATION","ISO 13485 Internal Auditor Training","20","To understand how to effectively manage an audit to ISO 13485 standard internally ","Challenge 4","Quality management","MCQ","Class B - Nat/International Industry Cert","External Training",24.0,"Comply Guru",12500.0
"INNOVATION","Medical Device CAPA & Root Cause Investigation Training","20","To improve CAPA management to drive more effictive corrections and preventative actions ","Challenge 4","Quality management","MCQ","Class B - Nat/International Industry Cert","Internal Training",8.0,,
"INNOVATION","Lunch & Learn - Automated Blister Inspection","90","Increases Knowledge & best practice","Challenge 3 / 5","Upskilling of support staff to support the machine on site ","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",1.6,,
"INNOVATION","Lunch & Learn - Understanding Finance","112","To provide employees with a foundational understanding of finance, enabling them to make informed decisions in their respective areas of the business.","Challenge 4","Enhanced finance literacy, cost management and investment decision making skills","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",6.0,,
"INNOVATION","New Technology FAT's","75","Increases Knowledge & best practice on new automated equipment","Challenge 4","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",24.0,"Various Vendor of new equipment",180000.0
"INNOVATION","Automated system operator commissioning training","75","Upskill the operations staff who will be running the system","Challenge 1","Upskilling of team who will be running the system","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",8.0,"Various Vendor of new equipment",60000.0
"INNOVATION","Basic Statistics with Minitab","20","Empowers employees to confidently interpret data and apply statistical methods using Minitab, leading to more accurate analysis and informed business decisions.","Challenge 2","Data-literate and analytically skilled workforce","","Class C - Internal Corporate Cert","External Training",24.0,"Irish Medtech Skillnet Funded",8400.0
"INNOVATION","Advanced Statics with Minitab","20","Empowers employees to confidently interpret data and apply statistical methods using Minitab, leading to more accurate analysis and informed business decisions.","Challenge 2","Data-literate and analytically skilled workforce","","Class C - Internal Corporate Cert","External Training",24.0,"Irish Medtech Skillnet Funded",8400.0
"INNOVATION","Design of Experiments","20","Empowers employees to confidently interpret data and apply statistical methods using Minitab, leading to more accurate analysis and informed business decisions.","Challenge 2","Data-literate and analytically skilled workforce","","Class C - Internal Corporate Cert","External Training",24.0,"Irish Medtech Skillnet Funded",8400.0
"INNOVATION","Influencing without Authority","29","Enables employees to navigate complex relationships, influence outcomes, and lead initiatives by leveraging communication, credibility, and emotional intelligence.","Challenge 1","On-site capability to influence outcomes and foster cross-functional alignment","","Class C - Internal Corporate Cert","External Training",8.0,"Irish Medtech Skillnet Funded",15600.0
"INNOVATION","Regulations for Leadership:  Understanding a Dynamic Landscape","24","This course equips leaders with the knowledge to navigate evolving regulatory environments, ensuring informed decision-making, proactive compliance, and strategic alignment with industry standards.","Challenge 5","Skilled workforce supporting regulatory compliance and system reliability","","Class C - Internal Corporate Cert","External Training",2.0,"Irish Medtech Skillnet Funded",4500.0
"INNOVATION","Quality Systems Regulations: Understanding a Dynamic Landscape","15","This course equip employees  with the knowledge to navigate evolving regulatory environments, ensuring informed decision-making, proactive compliance, and strategic alignment with industry standards.","Challenge 5","Skilled workforce supporting regulatory compliance and system reliability","MCQ","Class C - Internal Corporate Cert","External Training",16.0,"Irish Medtech Skillnet Funded",13500.0
"INNOVATION","Technical Writing Workshop (incl. Stryker NC/CAPA guidelines)","20","This workshop strengthens employees’ ability to write clear, accurate, and compliant technical documentation aligned with Stryker’s NC/CAPA guidelines, supporting quality, traceability, and regulatory readiness.","Challenge 2","Skilled workforce supporting regulatory compliance and system reliability","","Class C - Internal Corporate Cert","External Training",8.0,"Irish Medtech Skillnet Funded",13500.0
"INNOVATION","Effective Stakeholder Engagement & Communication","20","The course enhances employees’ ability to build trust, communicate clearly, and manage stakeholder expectations, leading to smoother collaboration and stronger cross-functional alignment.","Challenge 4","Skilled presenters supporting collaboration and stakeholder engagement","","Class C - Internal Corporate Cert","External Training",8.0,"Irish Medtech Skillnet Funded",13500.0
"INNOVATION","Critical Thinking","30","This course develops analytical and problem-solving skills, enabling employees to make more informed, objective decisions that drive efficiency and innovation.","Challenge 4","Analytical and solutions-focused workforce on site","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",7500.0
"INNOVATION","Introduction to Project Management","25"," In-House Program that builds foundational project management skills, enabling employees to plan, execute, and manage projects effectively, ensuring timely delivery and resource optimisation.","Challenge 1","Proficiency in Project Management","","Class C - Internal Corporate Cert","Internal Training",8.0,,
"INNOVATION","Advanced Project Management","10","The course enhances strategic project leadership, risk management, and stakeholder coordination skills, enabling successful delivery of complex, high-impact projects.","Challenge 1","Proficiency in Project Management","","Class C - Internal Corporate Cert","External Training",24.0,"Emagine",12000.0
"INNOVATION","PMI Exam Bootcamp","2","This intensive course prepares employees for PMI certification, strengthening their project management capabilities and aligning practices with global standards for greater efficiency and delivery success.","Challenge 1","Proficiency in Project Management","","Class C - Internal Corporate Cert","External Training",24.0,"Emagine",12000.0
"INNOVATION","Project Management Sponsor","6","The course empowers project sponsors with the skills to provide strategic oversight, remove roadblocks, and ensure alignment between project outcomes and business goals.","Challenge 1","Proficiency in Project Management","","Class C - Internal Corporate Cert","External Training",24.0,"Emagine",12000.0
"INNOVATION","MS Forms","10","This course builds practical skills in creating, managing, and analysing surveys and forms using MS Forms, streamlining data collection and improving internal communication and feedback processes.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","MS OneNote","10","The course enhances productivity and collaboration by teaching employees how to efficiently organise, share, and manage information using MS OneNote.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","MS Project - Level 1","10","This course provides foundational skills in MS Project, enabling employees to effectively plan, schedule, and track project tasks for improved project control and delivery.","Challenge 1","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","MS Project - Level 2","10","This course provides foundational skills in MS Project, enabling employees to effectively plan, schedule, and track project tasks for improved project control and delivery.","Challenge 1","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","MS Sharepoint","10","The course equips employees with the skills to efficiently manage documents, collaborate on content, and streamline workflows using MS SharePoint, enhancing team productivity and information sharing.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","MS Visio","10","This course develops employees’ ability to create clear, professional process maps and diagrams using MS Visio, supporting better communication, planning, and process improvement.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","MS Word","10","The course strengthens employees’ proficiency in MS Word for creating, formatting, and managing professional documents efficiently, supporting clear communication and documentation standards.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","Excel - Intro","10","This course enhances employees’ ability to organise, analyse, and visualise data using MS Excel, enabling more informed decision-making and increased efficiency in daily tasks.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","Excel - Intermediate","10","This course enhances employees’ ability to organise, analyse, and visualise data using MS Excel, enabling more informed decision-making and increased efficiency in daily tasks.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"INNOVATION","Excel - Advanced","10","This course enhances employees’ ability to organise, analyse, and visualise data using MS Excel, enabling more informed decision-making and increased efficiency in daily tasks.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"Manufacturing Excellence","Powerpoint - Advanced","10","This advanced course builds expertise in designing impactful presentations with sophisticated features in PowerPoint, enhancing communication, stakeholder engagement, and message delivery.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",2100.0
"Manufacturing Excellence","Practical Productivity using Outlook","10","The course improves time management and organisational skills by teaching employees how to effectively use Outlook for email, calendar, and task management, boosting overall productivity.","Challenge 4","Proficiency in Microsoft applications","","Class C - Internal Corporate Cert","External Training",4.0,"Irish Medtech Skillnet Funded",5000.0
"Manufacturing Excellence","Support staff upskilling ","200","LinkedIn Learning offers expert-led courses across business, tech, and creative fields.","Challenge 3",,"","Class D - Not Certified","Internal Training",12.0,,
"Manufacturing Excellence","Stryker Lean Tools - Managing Kaizen Events","20","Foster a culture of continuous improvement through structured Kaizen events.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","External Training",24.0,"Redefine ",4375.0
"Manufacturing Excellence","Lunch & Learn - Data gathering using basic SQL","90","Increases knowledge and best practice","Challenge 3 / 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",1.6,,
"Manufacturing Excellence","Stryker Lean Tools - Time Study","3","Analyzes task completion times to identify inefficiencies and standardize work processes for optimal productivity.","Challenge 5","Implementing Stryker's lean strategy","Written Exam","Class B - Nat/International Industry Cert","External Training",80.0,"Scott Grant",9564.0
"Manufacturing Excellence","FPI & X-Ray Training","30","This course provides specialised skills in Fluorescent Penetrant Inspection (FPI) and X-ray techniques, enhancing defect detection, product quality, and compliance with industry standards.","Challenge 2","On-site capability for advanced non-destructive testing","Written Exam","Class B - Nat/International Industry Cert","External Training",24.0,"South West School of NDT",90000.0
"Manufacturing Excellence","Cognos Training","10","Scrap software tool","Challenge 2",,"On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",8.0,,
"Manufacturing Excellence","Lunch & Learn - GAMP catergorisation in validations","90","Increases knowledge and best practice","Challenge 3 / 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",1.6,,
"Manufacturing Excellence","CNC For Engineers","10","This course equips engineers with in-depth knowledge of CNC programming and machining processes, leading to improved design-for-manufacture, process optimisation, and production efficiency.","Challenge 2","On-site technical capability to enhance manufacturing efficiency","MCQ","Class C - Internal Corporate Cert","Internal Training",24.0,,
"Manufacturing Excellence","Stryker Lean Tools - Fishbone Diagram (Ishikawa)","25","A root cause analysis tool used to systematically identify factors contributing to problems, enabling effective corrective actions.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",2.0,,
"Manufacturing Excellence","CSV Training","10","This course builds expertise in Computer System Validation (CSV), ensuring systems meet regulatory requirements and operate reliably, supporting quality, compliance, and audit readiness.","Challenge 5","Skilled workforce supporting regulatory compliance and system reliability","Project sign-off","Class C - Internal Corporate Cert","External Training",8.0,"Siobhan Dillon",15000.0
"Manufacturing Excellence","VSM Training","15","Provides a visual representation of material and information flow to identify and eliminate process inefficiencies.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",8.0,"ESS",5625.0
"Manufacturing Excellence","Gowning Instructors","6","The course trains employees to become effective gowning instructors, ensuring consistent compliance with cleanroom protocols and maintaining high standards of product quality and contamination control.","Challenge 5","Fully trained instructors ensuring consistent GMP gowning practice","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",8.0,,
"Manufacturing Excellence","GD&T Training","60","This course enhances employees’ understanding of Geometric Dimensioning and Tolerancing (GD&T), enabling precise interpretation of engineering drawings to improve manufacturing accuracy and reduce errors.","Challenge 2","On-site capability to ensure manufacturing accuracy and reduce defect","MCQ","Class C - Internal Corporate Cert","Internal Training",4.0,,
"Manufacturing Excellence","Stryker Lean Tools - 6S Training","400","Enhances workplace organization by incorporating an additional 'Safety' component into the traditional 6S methodology.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",2.0,,
"Manufacturing Excellence","Inductive Automaion ""Ignition"" certification - Digitalisation","3","Certification in this sacda platform allows in house expertise to facilitate updates to our system. This drives live business decisions daily","Challenge 3 / 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",40.0,"Inductive automation",3000.0
"Manufacturing Excellence","Microsoft Power Apps training","3","This specialised training allows for inhouse development of power Apps to develop data driven solution for the daily running of our business.","Challenge 3 / 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",40.0,"Microsoft",1500.0
"Manufacturing Excellence","Product Knowledge Training","400","This training deepens employees’ understanding of Stryker’s products, enabling more effective collaboration, higher quality output, and improved customer support across functions.","Challenge 1","Technically informed and product-aware workforce on site","","Class D - Not Certified","Internal Training",2.0,,
"Manufacturing Excellence","Solid Works EssentialsTraining","3","Program to train members on design of parts and fixtures for 3D printing ","Challenge 3 / 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","External Training",40.0,"SolidSolutiuons",4737.0
"Manufacturing Excellence","Stryker Lean Tools - Root Cause Analysis (RCA) / 5 Whys","200","A structured problem-solving method that helps teams identify and address the fundamental causes of process failures.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",2.0,,
"Manufacturing Excellence","Skinpack - FAT ","5","Increases Knowledge & best practice on automated packaging cell","Challenge 3 / 5","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",24.0,,
"Manufacturing Excellence","Training App Development and Deployment","100","Awareness training around the new training app to collect training data","Challenge 1","Innovation in process & engineering","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",8.0,,
"Manufacturing Excellence","Stryker Lean Tools - Hoshin Kanri (Strategic Development)","10","A structured problem-solving method that helps teams identify and address the fundamental causes of process failures.","Challenge 2","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","External Training",24.0,"Redefine ",2187.5
"Manufacturing Excellence","GMP Training","190","The course reinforces Good Manufacturing Practice (GMP) principles, ensuring employees maintain compliance, product quality, and readiness for regulatory inspections.","Challenge 5","Skilled workforce supporting regulatory compliance and system reliability","MCQ","Class D - Not Certified","Internal Training",4.0,,
"Manufacturing Excellence","Validation Training","30","This course develops critical skills in validation principles and practices, enabling employees to ensure equipment, processes, and systems consistently meet regulatory and quality standards.","Challenge 5","Skilled workforce supporting regulatory compliance and system reliability","Project sign-off","Class C - Internal Corporate Cert","Internal Training",8.0,,
"Manufacturing Excellence","Bsc in Supply Chain Management ","1","Funded under Stryker's Education Assistance programme  ","Challenge 3","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"University of Limerick",1500.0
"Manufacturing Excellence","Sustainable Work - Prof Dipl in UL","1","Funded under Stryker's Education Assistance programme  ","Challenge 6","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"University of Limerick",500.0
"Manufacturing Excellence","Edinburgh Business School Heriot Watt MBA","1","Funded under Stryker's Education Assistance programme  ","Challenge 3","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",416.0,"Heriot Watt Edinburgh",8000.0
"Manufacturing Excellence","Regulatory Affairs Certificate: Medical Devices - RAPS","1","Funded under Stryker's Education Assistance programme  ","Challenge 6","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"RAPS",2545.0
"Manufacturing Excellence","BA Management Practice","1","Funded under Stryker's Education Assistance programme  ","Challenge 3","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"University of Limerick",5458.0
"Manufacturing Excellence","CNC Machining of Materials","1","Funded under Stryker's Education Assistance programme  ","Challenge 2","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"TUS",1000.0
"Manufacturing Excellence","Masters of Business in Leadership & Innovation","1","Funded under Stryker's Education Assistance programme  ","Challenge 3","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",416.0,"Atlantic Technological University",4000.0
"Manufacturing Excellence","Certificate in Production & Inventory Management ","1","Funded under Stryker's Education Assistance programme  ","Challenge 2","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"University of Limerick",2150.0
"Manufacturing Excellence","Msc in personnel & Management Coaching","1","Funded under Stryker's Education Assistance programme  ","Challenge 3","Funded by Stryker's Education Assistance programme to create a talent pipeline in the organization","Written Exam","Class A - QQI Certified L1-10","External Training",416.0,"UCC",10000.0
"Manufacturing Excellence","Stryker Lean tools - SMED (Single-Minute Exchange of Die)","5","Reduces machine setup times to improve operational flexibility and minimize downtime.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",2.0,,
"Manufacturing Excellence","Stryker Lean tools -  Six Sigma DMAIC (Define, Measure, Analyze, Improve, Control)","30","A structured problem-solving approach that drives quality improvements by systematically reducing process variation.","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",2.0,,
"Manufacturing Excellence","Master of Business in Lean Enterprise Excellence (South East Technological University (SETU))","2","This course develops leadership and strategic decision-making skills in Lean Enterprise. It helps drive operational efficiency, continuous improvement, and waste reduction across all business functions, making organizations more competitive and responsive to change.","Challenge 3","Employees who complete Lean courses will develop skills in process improvement, problem-solving, data-driven decision-making, and Lean leadership, enabling them to optimize workflows and enhance efficiency. The impact on the business includes increased productivity, cost savings, higher quality output, and improved customer satisfaction, while employee retention improves due to greater engagement, empowerment, and career growth opportunities.","Written Exam","Class A - QQI Certified L1-10","External Training",416.0,"South East Technological University",15000.0
"Manufacturing Excellence","Postgraduate Diploma in Business in Lean Enterprise Excellence (South East Technological University (SETU))","2","This program provides hands-on experience in implementing Lean strategies at an organizational level. It equips professionals with problem-solving and change management skills to streamline processes, improve productivity, and enhance operational effectiveness.","Challenge 3","Employees who complete Lean courses will develop skills in process improvement, problem-solving, data-driven decision-making, and Lean leadership, enabling them to optimize workflows and enhance efficiency. The impact on the business includes increased productivity, cost savings, higher quality output, and improved customer satisfaction, while employee retention improves due to greater engagement, empowerment, and career growth opportunities.","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"South East Technological University",11000.0
"Manufacturing Excellence","Certificate in Lean Manufacturing and Six Sigma (South East Technological University (SETU))","2","This certificate course covers Lean tools and Six Sigma methodologies to reduce waste and improve quality in production and service processes. It supports process improvement initiatives, cost reduction efforts, and the overall drive for operational excellence.","Challenge 3","Employees who complete Lean courses will develop skills in process improvement, problem-solving, data-driven decision-making, and Lean leadership, enabling them to optimize workflows and enhance efficiency. The impact on the business includes increased productivity, cost savings, higher quality output, and improved customer satisfaction, while employee retention improves due to greater engagement, empowerment, and career growth opportunities.","Written Exam","Class A - QQI Certified L1-10","External Training",208.0,"South East Technological University",5000.0
